scale : 2 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
001000-count 	 lr : 0.000100 	 RGB_PSNR : 32.710983 	 Y_PSNR : 34.992294 
002000-count 	 lr : 0.000100 	 RGB_PSNR : 33.205339 	 Y_PSNR : 35.499989 
003000-count 	 lr : 0.000100 	 RGB_PSNR : 34.060305 	 Y_PSNR : 36.203080 
004000-count 	 lr : 0.000100 	 RGB_PSNR : 34.290002 	 Y_PSNR : 36.466233 
005000-count 	 lr : 0.000100 	 RGB_PSNR : 34.616208 	 Y_PSNR : 36.754898 
006000-count 	 lr : 0.000100 	 RGB_PSNR : 34.714464 	 Y_PSNR : 36.851595 
007000-count 	 lr : 0.000100 	 RGB_PSNR : 34.845796 	 Y_PSNR : 36.986915 
008000-count 	 lr : 0.000100 	 RGB_PSNR : 34.960444 	 Y_PSNR : 37.126181 
009000-count 	 lr : 0.000100 	 RGB_PSNR : 35.027516 	 Y_PSNR : 37.198387 
010000-count 	 lr : 0.000100 	 RGB_PSNR : 35.067933 	 Y_PSNR : 37.223527 
011000-count 	 lr : 0.000100 	 RGB_PSNR : 35.158290 	 Y_PSNR : 37.324508 
012000-count 	 lr : 0.000100 	 RGB_PSNR : 35.294703 	 Y_PSNR : 37.464267 
013000-count 	 lr : 0.000100 	 RGB_PSNR : 35.210216 	 Y_PSNR : 37.403495 
014000-count 	 lr : 0.000100 	 RGB_PSNR : 35.332717 	 Y_PSNR : 37.493922 
015000-count 	 lr : 0.000100 	 RGB_PSNR : 35.423798 	 Y_PSNR : 37.619501 
016000-count 	 lr : 0.000100 	 RGB_PSNR : 35.356806 	 Y_PSNR : 37.558783 
017000-count 	 lr : 0.000100 	 RGB_PSNR : 35.416616 	 Y_PSNR : 37.605560 
018000-count 	 lr : 0.000100 	 RGB_PSNR : 35.505800 	 Y_PSNR : 37.710793 
019000-count 	 lr : 0.000100 	 RGB_PSNR : 35.429802 	 Y_PSNR : 37.635999 
020000-count 	 lr : 0.000100 	 RGB_PSNR : 35.421505 	 Y_PSNR : 37.606852 
021000-count 	 lr : 0.000100 	 RGB_PSNR : 35.485397 	 Y_PSNR : 37.707123 
022000-count 	 lr : 0.000100 	 RGB_PSNR : 35.370864 	 Y_PSNR : 37.540436 
