scale : 2 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
023000-count 	 lr : 0.000100 	 RGB_PSNR : 35.444092 	 Y_PSNR : 37.643009 
024000-count 	 lr : 0.000100 	 RGB_PSNR : 35.515013 	 Y_PSNR : 37.692839 
025000-count 	 lr : 0.000100 	 RGB_PSNR : 35.502881 	 Y_PSNR : 37.709244 
026000-count 	 lr : 0.000100 	 RGB_PSNR : 35.559032 	 Y_PSNR : 37.767123 
027000-count 	 lr : 0.000100 	 RGB_PSNR : 35.617658 	 Y_PSNR : 37.807606 
028000-count 	 lr : 0.000100 	 RGB_PSNR : 35.523514 	 Y_PSNR : 37.688871 
029000-count 	 lr : 0.000100 	 RGB_PSNR : 35.561960 	 Y_PSNR : 37.737231 
030000-count 	 lr : 0.000100 	 RGB_PSNR : 35.402796 	 Y_PSNR : 37.572068 
031000-count 	 lr : 0.000100 	 RGB_PSNR : 35.587812 	 Y_PSNR : 37.798949 
032000-count 	 lr : 0.000100 	 RGB_PSNR : 35.683391 	 Y_PSNR : 37.880477 
033000-count 	 lr : 0.000100 	 RGB_PSNR : 35.646734 	 Y_PSNR : 37.857367 
034000-count 	 lr : 0.000100 	 RGB_PSNR : 35.651324 	 Y_PSNR : 37.848605 
035000-count 	 lr : 0.000100 	 RGB_PSNR : 35.606579 	 Y_PSNR : 37.797932 
036000-count 	 lr : 0.000100 	 RGB_PSNR : 35.533483 	 Y_PSNR : 37.765210 
037000-count 	 lr : 0.000100 	 RGB_PSNR : 35.604124 	 Y_PSNR : 37.780593 
038000-count 	 lr : 0.000100 	 RGB_PSNR : 35.721599 	 Y_PSNR : 37.928298 
039000-count 	 lr : 0.000100 	 RGB_PSNR : 35.643533 	 Y_PSNR : 37.860625 
040000-count 	 lr : 0.000100 	 RGB_PSNR : 35.633502 	 Y_PSNR : 37.869996 
041000-count 	 lr : 0.000100 	 RGB_PSNR : 35.681950 	 Y_PSNR : 37.876749 
042000-count 	 lr : 0.000100 	 RGB_PSNR : 35.617566 	 Y_PSNR : 37.806382 
043000-count 	 lr : 0.000100 	 RGB_PSNR : 35.634036 	 Y_PSNR : 37.813229 
044000-count 	 lr : 0.000100 	 RGB_PSNR : 35.645588 	 Y_PSNR : 37.833773 
045000-count 	 lr : 0.000100 	 RGB_PSNR : 35.645896 	 Y_PSNR : 37.837295 
046000-count 	 lr : 0.000100 	 RGB_PSNR : 35.645212 	 Y_PSNR : 37.840215 
047000-count 	 lr : 0.000100 	 RGB_PSNR : 35.640541 	 Y_PSNR : 37.824325 
048000-count 	 lr : 0.000100 	 RGB_PSNR : 35.668618 	 Y_PSNR : 37.854729 
049000-count 	 lr : 0.000100 	 RGB_PSNR : 35.665986 	 Y_PSNR : 37.866624 
050000-count 	 lr : 0.000100 	 RGB_PSNR : 35.708279 	 Y_PSNR : 37.902646 
051000-count 	 lr : 0.000100 	 RGB_PSNR : 35.714888 	 Y_PSNR : 37.915226 
052000-count 	 lr : 0.000100 	 RGB_PSNR : 35.664243 	 Y_PSNR : 37.847623 
053000-count 	 lr : 0.000100 	 RGB_PSNR : 35.679236 	 Y_PSNR : 37.862007 
054000-count 	 lr : 0.000100 	 RGB_PSNR : 35.534632 	 Y_PSNR : 37.687600 
055000-count 	 lr : 0.000100 	 RGB_PSNR : 35.657689 	 Y_PSNR : 37.851096 
056000-count 	 lr : 0.000100 	 RGB_PSNR : 35.676345 	 Y_PSNR : 37.854957 
057000-count 	 lr : 0.000100 	 RGB_PSNR : 35.666643 	 Y_PSNR : 37.848820 
058000-count 	 lr : 0.000100 	 RGB_PSNR : 35.731207 	 Y_PSNR : 37.919515 
059000-count 	 lr : 0.000100 	 RGB_PSNR : 35.752693 	 Y_PSNR : 37.955651 
060000-count 	 lr : 0.000100 	 RGB_PSNR : 35.674993 	 Y_PSNR : 37.852206 
061000-count 	 lr : 0.000100 	 RGB_PSNR : 35.678940 	 Y_PSNR : 37.847562 
062000-count 	 lr : 0.000100 	 RGB_PSNR : 35.690590 	 Y_PSNR : 37.871040 
063000-count 	 lr : 0.000100 	 RGB_PSNR : 35.770057 	 Y_PSNR : 37.962906 
064000-count 	 lr : 0.000100 	 RGB_PSNR : 35.740847 	 Y_PSNR : 37.937352 
065000-count 	 lr : 0.000100 	 RGB_PSNR : 35.741063 	 Y_PSNR : 37.931082 
066000-count 	 lr : 0.000100 	 RGB_PSNR : 35.770247 	 Y_PSNR : 37.974342 
067000-count 	 lr : 0.000100 	 RGB_PSNR : 35.778249 	 Y_PSNR : 37.978917 
068000-count 	 lr : 0.000100 	 RGB_PSNR : 35.733712 	 Y_PSNR : 37.923958 
069000-count 	 lr : 0.000100 	 RGB_PSNR : 35.803146 	 Y_PSNR : 38.001786 
070000-count 	 lr : 0.000100 	 RGB_PSNR : 35.711186 	 Y_PSNR : 37.905359 
071000-count 	 lr : 0.000100 	 RGB_PSNR : 35.724278 	 Y_PSNR : 37.911350 
072000-count 	 lr : 0.000100 	 RGB_PSNR : 35.786224 	 Y_PSNR : 37.983021 
073000-count 	 lr : 0.000100 	 RGB_PSNR : 35.754999 	 Y_PSNR : 37.964808 
074000-count 	 lr : 0.000100 	 RGB_PSNR : 35.671454 	 Y_PSNR : 37.847744 
075000-count 	 lr : 0.000100 	 RGB_PSNR : 35.737582 	 Y_PSNR : 37.912617 
076000-count 	 lr : 0.000100 	 RGB_PSNR : 35.761748 	 Y_PSNR : 37.949280 
077000-count 	 lr : 0.000100 	 RGB_PSNR : 35.788317 	 Y_PSNR : 37.972905 
078000-count 	 lr : 0.000100 	 RGB_PSNR : 35.730414 	 Y_PSNR : 37.910809 
079000-count 	 lr : 0.000100 	 RGB_PSNR : 35.769657 	 Y_PSNR : 37.975218 
080000-count 	 lr : 0.000100 	 RGB_PSNR : 35.790555 	 Y_PSNR : 37.983847 
081000-count 	 lr : 0.000100 	 RGB_PSNR : 35.823457 	 Y_PSNR : 38.008291 
082000-count 	 lr : 0.000100 	 RGB_PSNR : 35.812099 	 Y_PSNR : 37.997970 
083000-count 	 lr : 0.000100 	 RGB_PSNR : 35.784946 	 Y_PSNR : 37.970899 
084000-count 	 lr : 0.000100 	 RGB_PSNR : 35.752545 	 Y_PSNR : 37.937394 
085000-count 	 lr : 0.000100 	 RGB_PSNR : 35.766879 	 Y_PSNR : 37.939691 
086000-count 	 lr : 0.000100 	 RGB_PSNR : 35.795923 	 Y_PSNR : 37.992905 
087000-count 	 lr : 0.000100 	 RGB_PSNR : 35.773947 	 Y_PSNR : 37.960170 
088000-count 	 lr : 0.000100 	 RGB_PSNR : 35.730410 	 Y_PSNR : 37.930581 
089000-count 	 lr : 0.000100 	 RGB_PSNR : 35.790142 	 Y_PSNR : 37.972776 
090000-count 	 lr : 0.000100 	 RGB_PSNR : 35.786367 	 Y_PSNR : 37.976887 
091000-count 	 lr : 0.000100 	 RGB_PSNR : 35.808699 	 Y_PSNR : 37.988004 
092000-count 	 lr : 0.000100 	 RGB_PSNR : 35.824181 	 Y_PSNR : 38.026101 
093000-count 	 lr : 0.000100 	 RGB_PSNR : 35.783647 	 Y_PSNR : 37.984891 
094000-count 	 lr : 0.000100 	 RGB_PSNR : 35.773987 	 Y_PSNR : 37.958269 
095000-count 	 lr : 0.000100 	 RGB_PSNR : 35.757126 	 Y_PSNR : 37.943881 
096000-count 	 lr : 0.000100 	 RGB_PSNR : 35.820314 	 Y_PSNR : 38.017696 
097000-count 	 lr : 0.000100 	 RGB_PSNR : 35.763400 	 Y_PSNR : 37.956849 
098000-count 	 lr : 0.000100 	 RGB_PSNR : 35.787746 	 Y_PSNR : 37.976169 
099000-count 	 lr : 0.000100 	 RGB_PSNR : 35.846766 	 Y_PSNR : 38.054051 
100000-count 	 lr : 0.000100 	 RGB_PSNR : 35.841450 	 Y_PSNR : 38.033216 
101000-count 	 lr : 0.000100 	 RGB_PSNR : 35.839656 	 Y_PSNR : 38.024631 
102000-count 	 lr : 0.000100 	 RGB_PSNR : 35.841974 	 Y_PSNR : 38.031220 
103000-count 	 lr : 0.000100 	 RGB_PSNR : 35.831076 	 Y_PSNR : 38.020835 
104000-count 	 lr : 0.000100 	 RGB_PSNR : 35.751808 	 Y_PSNR : 37.942871 
105000-count 	 lr : 0.000100 	 RGB_PSNR : 35.793890 	 Y_PSNR : 38.002805 
106000-count 	 lr : 0.000100 	 RGB_PSNR : 35.746541 	 Y_PSNR : 37.903702 
107000-count 	 lr : 0.000100 	 RGB_PSNR : 35.798888 	 Y_PSNR : 37.979704 
108000-count 	 lr : 0.000100 	 RGB_PSNR : 35.834839 	 Y_PSNR : 38.032189 
109000-count 	 lr : 0.000100 	 RGB_PSNR : 35.762922 	 Y_PSNR : 37.943911 
110000-count 	 lr : 0.000100 	 RGB_PSNR : 35.849044 	 Y_PSNR : 38.045564 
111000-count 	 lr : 0.000100 	 RGB_PSNR : 35.806020 	 Y_PSNR : 38.011897 
112000-count 	 lr : 0.000100 	 RGB_PSNR : 35.752277 	 Y_PSNR : 37.904557 
113000-count 	 lr : 0.000100 	 RGB_PSNR : 35.800569 	 Y_PSNR : 37.998555 
114000-count 	 lr : 0.000100 	 RGB_PSNR : 35.836992 	 Y_PSNR : 38.025793 
115000-count 	 lr : 0.000100 	 RGB_PSNR : 35.858432 	 Y_PSNR : 38.054273 
116000-count 	 lr : 0.000100 	 RGB_PSNR : 35.861442 	 Y_PSNR : 38.046417 
117000-count 	 lr : 0.000100 	 RGB_PSNR : 35.809052 	 Y_PSNR : 37.989779 
118000-count 	 lr : 0.000100 	 RGB_PSNR : 35.838049 	 Y_PSNR : 38.036478 
119000-count 	 lr : 0.000100 	 RGB_PSNR : 35.830855 	 Y_PSNR : 38.010391 
120000-count 	 lr : 0.000100 	 RGB_PSNR : 35.858644 	 Y_PSNR : 38.050658 
121000-count 	 lr : 0.000100 	 RGB_PSNR : 35.775048 	 Y_PSNR : 37.983083 
122000-count 	 lr : 0.000100 	 RGB_PSNR : 35.851287 	 Y_PSNR : 38.039663 
123000-count 	 lr : 0.000100 	 RGB_PSNR : 35.866847 	 Y_PSNR : 38.064191 
124000-count 	 lr : 0.000100 	 RGB_PSNR : 35.864824 	 Y_PSNR : 38.055413 
125000-count 	 lr : 0.000100 	 RGB_PSNR : 35.762014 	 Y_PSNR : 37.993150 
126000-count 	 lr : 0.000100 	 RGB_PSNR : 35.816265 	 Y_PSNR : 38.006489 
127000-count 	 lr : 0.000100 	 RGB_PSNR : 35.791651 	 Y_PSNR : 37.976050 
128000-count 	 lr : 0.000100 	 RGB_PSNR : 35.841785 	 Y_PSNR : 38.035677 
129000-count 	 lr : 0.000100 	 RGB_PSNR : 35.862621 	 Y_PSNR : 38.049728 
130000-count 	 lr : 0.000100 	 RGB_PSNR : 35.814095 	 Y_PSNR : 37.992484 
131000-count 	 lr : 0.000100 	 RGB_PSNR : 35.845512 	 Y_PSNR : 38.079725 
132000-count 	 lr : 0.000100 	 RGB_PSNR : 35.864802 	 Y_PSNR : 38.057261 
133000-count 	 lr : 0.000100 	 RGB_PSNR : 35.678938 	 Y_PSNR : 37.863046 
134000-count 	 lr : 0.000100 	 RGB_PSNR : 35.839065 	 Y_PSNR : 38.026578 
135000-count 	 lr : 0.000100 	 RGB_PSNR : 35.865840 	 Y_PSNR : 38.056218 
136000-count 	 lr : 0.000100 	 RGB_PSNR : 35.843303 	 Y_PSNR : 38.040779 
137000-count 	 lr : 0.000100 	 RGB_PSNR : 35.845942 	 Y_PSNR : 38.032166 
138000-count 	 lr : 0.000100 	 RGB_PSNR : 35.875909 	 Y_PSNR : 38.062568 
139000-count 	 lr : 0.000100 	 RGB_PSNR : 35.857422 	 Y_PSNR : 38.045231 
140000-count 	 lr : 0.000100 	 RGB_PSNR : 35.850973 	 Y_PSNR : 38.040912 
141000-count 	 lr : 0.000100 	 RGB_PSNR : 35.848616 	 Y_PSNR : 38.058389 
142000-count 	 lr : 0.000100 	 RGB_PSNR : 35.869671 	 Y_PSNR : 38.053080 
143000-count 	 lr : 0.000100 	 RGB_PSNR : 35.865671 	 Y_PSNR : 38.060984 
144000-count 	 lr : 0.000100 	 RGB_PSNR : 35.869144 	 Y_PSNR : 38.059978 
145000-count 	 lr : 0.000100 	 RGB_PSNR : 35.890820 	 Y_PSNR : 38.088014 
146000-count 	 lr : 0.000100 	 RGB_PSNR : 35.844875 	 Y_PSNR : 38.028302 
147000-count 	 lr : 0.000100 	 RGB_PSNR : 35.891138 	 Y_PSNR : 38.081903 
148000-count 	 lr : 0.000100 	 RGB_PSNR : 35.875172 	 Y_PSNR : 38.067813 
149000-count 	 lr : 0.000100 	 RGB_PSNR : 35.834579 	 Y_PSNR : 38.019639 
150000-count 	 lr : 0.000100 	 RGB_PSNR : 35.826980 	 Y_PSNR : 38.016023 
151000-count 	 lr : 0.000100 	 RGB_PSNR : 35.874168 	 Y_PSNR : 38.066161 
152000-count 	 lr : 0.000100 	 RGB_PSNR : 35.849914 	 Y_PSNR : 38.034875 
153000-count 	 lr : 0.000100 	 RGB_PSNR : 35.881182 	 Y_PSNR : 38.075499 
154000-count 	 lr : 0.000100 	 RGB_PSNR : 35.880420 	 Y_PSNR : 38.072226 
155000-count 	 lr : 0.000100 	 RGB_PSNR : 35.837046 	 Y_PSNR : 38.027801 
156000-count 	 lr : 0.000100 	 RGB_PSNR : 35.842938 	 Y_PSNR : 38.027655 
157000-count 	 lr : 0.000100 	 RGB_PSNR : 35.797034 	 Y_PSNR : 37.971362 
158000-count 	 lr : 0.000100 	 RGB_PSNR : 35.768572 	 Y_PSNR : 37.940639 
159000-count 	 lr : 0.000100 	 RGB_PSNR : 35.895557 	 Y_PSNR : 38.090223 
160000-count 	 lr : 0.000100 	 RGB_PSNR : 35.848404 	 Y_PSNR : 38.033085 
161000-count 	 lr : 0.000100 	 RGB_PSNR : 35.907493 	 Y_PSNR : 38.093607 
162000-count 	 lr : 0.000100 	 RGB_PSNR : 35.840085 	 Y_PSNR : 38.013846 
163000-count 	 lr : 0.000100 	 RGB_PSNR : 35.887070 	 Y_PSNR : 38.074407 
164000-count 	 lr : 0.000100 	 RGB_PSNR : 35.824240 	 Y_PSNR : 38.012786 
165000-count 	 lr : 0.000100 	 RGB_PSNR : 35.861520 	 Y_PSNR : 38.047514 
166000-count 	 lr : 0.000100 	 RGB_PSNR : 35.892516 	 Y_PSNR : 38.083557 
167000-count 	 lr : 0.000100 	 RGB_PSNR : 35.817608 	 Y_PSNR : 38.002971 
168000-count 	 lr : 0.000100 	 RGB_PSNR : 35.884203 	 Y_PSNR : 38.094177 
169000-count 	 lr : 0.000100 	 RGB_PSNR : 35.891941 	 Y_PSNR : 38.085590 
170000-count 	 lr : 0.000100 	 RGB_PSNR : 35.860412 	 Y_PSNR : 38.046662 
171000-count 	 lr : 0.000100 	 RGB_PSNR : 35.904335 	 Y_PSNR : 38.086331 
172000-count 	 lr : 0.000100 	 RGB_PSNR : 35.901433 	 Y_PSNR : 38.091360 
173000-count 	 lr : 0.000100 	 RGB_PSNR : 35.862396 	 Y_PSNR : 38.082687 
174000-count 	 lr : 0.000100 	 RGB_PSNR : 35.880958 	 Y_PSNR : 38.069955 
175000-count 	 lr : 0.000100 	 RGB_PSNR : 35.870793 	 Y_PSNR : 38.057028 
176000-count 	 lr : 0.000100 	 RGB_PSNR : 35.863322 	 Y_PSNR : 38.046551 
177000-count 	 lr : 0.000100 	 RGB_PSNR : 35.888690 	 Y_PSNR : 38.074203 
178000-count 	 lr : 0.000100 	 RGB_PSNR : 35.867922 	 Y_PSNR : 38.063258 
179000-count 	 lr : 0.000100 	 RGB_PSNR : 35.897503 	 Y_PSNR : 38.077700 
180000-count 	 lr : 0.000100 	 RGB_PSNR : 35.897144 	 Y_PSNR : 38.080859 
181000-count 	 lr : 0.000100 	 RGB_PSNR : 35.921345 	 Y_PSNR : 38.109360 
182000-count 	 lr : 0.000100 	 RGB_PSNR : 35.878079 	 Y_PSNR : 38.074149 
183000-count 	 lr : 0.000100 	 RGB_PSNR : 35.899350 	 Y_PSNR : 38.085671 
184000-count 	 lr : 0.000100 	 RGB_PSNR : 35.871729 	 Y_PSNR : 38.058881 
185000-count 	 lr : 0.000100 	 RGB_PSNR : 35.868939 	 Y_PSNR : 38.072780 
186000-count 	 lr : 0.000100 	 RGB_PSNR : 35.870303 	 Y_PSNR : 38.059805 
187000-count 	 lr : 0.000100 	 RGB_PSNR : 35.854707 	 Y_PSNR : 38.056394 
188000-count 	 lr : 0.000100 	 RGB_PSNR : 35.907536 	 Y_PSNR : 38.096941 
189000-count 	 lr : 0.000100 	 RGB_PSNR : 35.895027 	 Y_PSNR : 38.097918 
190000-count 	 lr : 0.000100 	 RGB_PSNR : 35.841944 	 Y_PSNR : 38.029446 
191000-count 	 lr : 0.000100 	 RGB_PSNR : 35.878883 	 Y_PSNR : 38.087025 
192000-count 	 lr : 0.000100 	 RGB_PSNR : 35.876400 	 Y_PSNR : 38.065022 
193000-count 	 lr : 0.000100 	 RGB_PSNR : 35.879847 	 Y_PSNR : 38.061142 
194000-count 	 lr : 0.000100 	 RGB_PSNR : 35.916260 	 Y_PSNR : 38.107350 
195000-count 	 lr : 0.000100 	 RGB_PSNR : 35.872850 	 Y_PSNR : 38.069010 
196000-count 	 lr : 0.000100 	 RGB_PSNR : 35.863583 	 Y_PSNR : 38.054664 
197000-count 	 lr : 0.000100 	 RGB_PSNR : 35.879565 	 Y_PSNR : 38.069684 
198000-count 	 lr : 0.000100 	 RGB_PSNR : 35.873652 	 Y_PSNR : 38.059320 
199000-count 	 lr : 0.000100 	 RGB_PSNR : 35.846454 	 Y_PSNR : 38.020808 
200000-count 	 lr : 0.000050 	 RGB_PSNR : 35.885100 	 Y_PSNR : 38.066688 
201000-count 	 lr : 0.000050 	 RGB_PSNR : 35.933650 	 Y_PSNR : 38.126836 
202000-count 	 lr : 0.000050 	 RGB_PSNR : 35.939981 	 Y_PSNR : 38.134132 
203000-count 	 lr : 0.000050 	 RGB_PSNR : 35.946344 	 Y_PSNR : 38.145701 
204000-count 	 lr : 0.000050 	 RGB_PSNR : 35.954123 	 Y_PSNR : 38.152024 
205000-count 	 lr : 0.000050 	 RGB_PSNR : 35.958111 	 Y_PSNR : 38.158548 
206000-count 	 lr : 0.000050 	 RGB_PSNR : 35.947299 	 Y_PSNR : 38.142744 
207000-count 	 lr : 0.000050 	 RGB_PSNR : 35.953961 	 Y_PSNR : 38.150544 
208000-count 	 lr : 0.000050 	 RGB_PSNR : 35.941074 	 Y_PSNR : 38.139779 
209000-count 	 lr : 0.000050 	 RGB_PSNR : 35.946960 	 Y_PSNR : 38.141357 
210000-count 	 lr : 0.000050 	 RGB_PSNR : 35.953916 	 Y_PSNR : 38.144711 
211000-count 	 lr : 0.000050 	 RGB_PSNR : 35.932847 	 Y_PSNR : 38.122262 
212000-count 	 lr : 0.000050 	 RGB_PSNR : 35.957066 	 Y_PSNR : 38.153070 
213000-count 	 lr : 0.000050 	 RGB_PSNR : 35.962843 	 Y_PSNR : 38.155761 
214000-count 	 lr : 0.000050 	 RGB_PSNR : 35.954921 	 Y_PSNR : 38.148999 
215000-count 	 lr : 0.000050 	 RGB_PSNR : 35.954302 	 Y_PSNR : 38.152638 
216000-count 	 lr : 0.000050 	 RGB_PSNR : 35.956298 	 Y_PSNR : 38.150614 
217000-count 	 lr : 0.000050 	 RGB_PSNR : 35.980452 	 Y_PSNR : 38.182506 
218000-count 	 lr : 0.000050 	 RGB_PSNR : 35.968975 	 Y_PSNR : 38.168278 
219000-count 	 lr : 0.000050 	 RGB_PSNR : 35.974884 	 Y_PSNR : 38.172523 
220000-count 	 lr : 0.000050 	 RGB_PSNR : 35.958922 	 Y_PSNR : 38.156933 
221000-count 	 lr : 0.000050 	 RGB_PSNR : 35.953526 	 Y_PSNR : 38.151499 
222000-count 	 lr : 0.000050 	 RGB_PSNR : 35.969393 	 Y_PSNR : 38.165462 
223000-count 	 lr : 0.000050 	 RGB_PSNR : 35.956629 	 Y_PSNR : 38.152726 
224000-count 	 lr : 0.000050 	 RGB_PSNR : 35.936301 	 Y_PSNR : 38.130198 
225000-count 	 lr : 0.000050 	 RGB_PSNR : 35.962181 	 Y_PSNR : 38.159308 
226000-count 	 lr : 0.000050 	 RGB_PSNR : 35.957600 	 Y_PSNR : 38.152509 
227000-count 	 lr : 0.000050 	 RGB_PSNR : 35.966363 	 Y_PSNR : 38.162126 
228000-count 	 lr : 0.000050 	 RGB_PSNR : 35.958159 	 Y_PSNR : 38.153416 
229000-count 	 lr : 0.000050 	 RGB_PSNR : 35.965616 	 Y_PSNR : 38.156131 
230000-count 	 lr : 0.000050 	 RGB_PSNR : 35.964057 	 Y_PSNR : 38.157949 
231000-count 	 lr : 0.000050 	 RGB_PSNR : 35.962561 	 Y_PSNR : 38.160116 
232000-count 	 lr : 0.000050 	 RGB_PSNR : 35.956756 	 Y_PSNR : 38.150036 
233000-count 	 lr : 0.000050 	 RGB_PSNR : 35.967770 	 Y_PSNR : 38.168818 
234000-count 	 lr : 0.000050 	 RGB_PSNR : 35.970675 	 Y_PSNR : 38.168887 
235000-count 	 lr : 0.000050 	 RGB_PSNR : 35.966920 	 Y_PSNR : 38.159483 
236000-count 	 lr : 0.000050 	 RGB_PSNR : 35.976405 	 Y_PSNR : 38.175803 
237000-count 	 lr : 0.000050 	 RGB_PSNR : 35.965995 	 Y_PSNR : 38.163955 
238000-count 	 lr : 0.000050 	 RGB_PSNR : 35.957569 	 Y_PSNR : 38.146306 
239000-count 	 lr : 0.000050 	 RGB_PSNR : 35.972604 	 Y_PSNR : 38.165051 
240000-count 	 lr : 0.000050 	 RGB_PSNR : 35.969700 	 Y_PSNR : 38.162355 
241000-count 	 lr : 0.000050 	 RGB_PSNR : 35.956239 	 Y_PSNR : 38.152064 
242000-count 	 lr : 0.000050 	 RGB_PSNR : 35.958297 	 Y_PSNR : 38.148829 
243000-count 	 lr : 0.000050 	 RGB_PSNR : 35.963344 	 Y_PSNR : 38.156438 
244000-count 	 lr : 0.000050 	 RGB_PSNR : 35.956611 	 Y_PSNR : 38.151287 
245000-count 	 lr : 0.000050 	 RGB_PSNR : 35.974060 	 Y_PSNR : 38.165106 
246000-count 	 lr : 0.000050 	 RGB_PSNR : 35.970327 	 Y_PSNR : 38.162090 
247000-count 	 lr : 0.000050 	 RGB_PSNR : 35.958985 	 Y_PSNR : 38.149938 
248000-count 	 lr : 0.000050 	 RGB_PSNR : 35.976620 	 Y_PSNR : 38.170855 
249000-count 	 lr : 0.000050 	 RGB_PSNR : 35.922860 	 Y_PSNR : 38.113010 
250000-count 	 lr : 0.000050 	 RGB_PSNR : 35.961272 	 Y_PSNR : 38.152366 
251000-count 	 lr : 0.000050 	 RGB_PSNR : 35.985060 	 Y_PSNR : 38.181868 
252000-count 	 lr : 0.000050 	 RGB_PSNR : 35.991056 	 Y_PSNR : 38.182432 
253000-count 	 lr : 0.000050 	 RGB_PSNR : 35.963940 	 Y_PSNR : 38.158849 
254000-count 	 lr : 0.000050 	 RGB_PSNR : 35.969528 	 Y_PSNR : 38.162016 
255000-count 	 lr : 0.000050 	 RGB_PSNR : 35.985430 	 Y_PSNR : 38.180281 
256000-count 	 lr : 0.000050 	 RGB_PSNR : 35.973251 	 Y_PSNR : 38.166189 
257000-count 	 lr : 0.000050 	 RGB_PSNR : 35.984429 	 Y_PSNR : 38.175211 
258000-count 	 lr : 0.000050 	 RGB_PSNR : 35.988119 	 Y_PSNR : 38.185521 
259000-count 	 lr : 0.000050 	 RGB_PSNR : 35.974480 	 Y_PSNR : 38.172122 
260000-count 	 lr : 0.000050 	 RGB_PSNR : 35.986265 	 Y_PSNR : 38.180121 
261000-count 	 lr : 0.000050 	 RGB_PSNR : 35.964030 	 Y_PSNR : 38.160823 
262000-count 	 lr : 0.000050 	 RGB_PSNR : 35.976475 	 Y_PSNR : 38.170627 
263000-count 	 lr : 0.000050 	 RGB_PSNR : 35.977418 	 Y_PSNR : 38.172981 
264000-count 	 lr : 0.000050 	 RGB_PSNR : 35.960438 	 Y_PSNR : 38.152484 
265000-count 	 lr : 0.000050 	 RGB_PSNR : 35.972360 	 Y_PSNR : 38.168030 
266000-count 	 lr : 0.000050 	 RGB_PSNR : 35.966319 	 Y_PSNR : 38.161875 
267000-count 	 lr : 0.000050 	 RGB_PSNR : 35.962537 	 Y_PSNR : 38.154245 
268000-count 	 lr : 0.000050 	 RGB_PSNR : 35.964428 	 Y_PSNR : 38.154798 
269000-count 	 lr : 0.000050 	 RGB_PSNR : 35.986196 	 Y_PSNR : 38.180101 
270000-count 	 lr : 0.000050 	 RGB_PSNR : 35.920651 	 Y_PSNR : 38.102545 
271000-count 	 lr : 0.000050 	 RGB_PSNR : 35.979255 	 Y_PSNR : 38.172792 
272000-count 	 lr : 0.000050 	 RGB_PSNR : 35.990024 	 Y_PSNR : 38.183248 
273000-count 	 lr : 0.000050 	 RGB_PSNR : 35.970515 	 Y_PSNR : 38.162111 
274000-count 	 lr : 0.000050 	 RGB_PSNR : 35.985317 	 Y_PSNR : 38.174791 
275000-count 	 lr : 0.000050 	 RGB_PSNR : 35.995134 	 Y_PSNR : 38.191466 
276000-count 	 lr : 0.000050 	 RGB_PSNR : 35.987934 	 Y_PSNR : 38.182374 
277000-count 	 lr : 0.000050 	 RGB_PSNR : 35.974711 	 Y_PSNR : 38.167389 
278000-count 	 lr : 0.000050 	 RGB_PSNR : 35.977804 	 Y_PSNR : 38.171704 
