scale : 3 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
573000-count 	 lr : 0.000002 	 RGB_PSNR : 32.741619 	 Y_PSNR : 34.754228 
574000-count 	 lr : 0.000002 	 RGB_PSNR : 32.740765 	 Y_PSNR : 34.751963 
575000-count 	 lr : 0.000002 	 RGB_PSNR : 32.744408 	 Y_PSNR : 34.756175 
576000-count 	 lr : 0.000002 	 RGB_PSNR : 32.743221 	 Y_PSNR : 34.755247 
577000-count 	 lr : 0.000002 	 RGB_PSNR : 32.741254 	 Y_PSNR : 34.752790 
578000-count 	 lr : 0.000002 	 RGB_PSNR : 32.745755 	 Y_PSNR : 34.759219 
579000-count 	 lr : 0.000002 	 RGB_PSNR : 32.742328 	 Y_PSNR : 34.754337 
580000-count 	 lr : 0.000002 	 RGB_PSNR : 32.747758 	 Y_PSNR : 34.761220 
581000-count 	 lr : 0.000002 	 RGB_PSNR : 32.741855 	 Y_PSNR : 34.754008 
582000-count 	 lr : 0.000002 	 RGB_PSNR : 32.745110 	 Y_PSNR : 34.757412 
583000-count 	 lr : 0.000002 	 RGB_PSNR : 32.736066 	 Y_PSNR : 34.747122 
584000-count 	 lr : 0.000002 	 RGB_PSNR : 32.737991 	 Y_PSNR : 34.749113 
585000-count 	 lr : 0.000002 	 RGB_PSNR : 32.741993 	 Y_PSNR : 34.753836 
586000-count 	 lr : 0.000002 	 RGB_PSNR : 32.739884 	 Y_PSNR : 34.751618 
587000-count 	 lr : 0.000002 	 RGB_PSNR : 32.743694 	 Y_PSNR : 34.755865 
588000-count 	 lr : 0.000002 	 RGB_PSNR : 32.740093 	 Y_PSNR : 34.751707 
589000-count 	 lr : 0.000002 	 RGB_PSNR : 32.737543 	 Y_PSNR : 34.747924 
590000-count 	 lr : 0.000002 	 RGB_PSNR : 32.731880 	 Y_PSNR : 34.741896 
591000-count 	 lr : 0.000002 	 RGB_PSNR : 32.740036 	 Y_PSNR : 34.752347 
592000-count 	 lr : 0.000002 	 RGB_PSNR : 32.737428 	 Y_PSNR : 34.748330 
593000-count 	 lr : 0.000002 	 RGB_PSNR : 32.734987 	 Y_PSNR : 34.747193 
594000-count 	 lr : 0.000002 	 RGB_PSNR : 32.737822 	 Y_PSNR : 34.748096 
595000-count 	 lr : 0.000002 	 RGB_PSNR : 32.733350 	 Y_PSNR : 34.743875 
596000-count 	 lr : 0.000002 	 RGB_PSNR : 32.735960 	 Y_PSNR : 34.747717 
597000-count 	 lr : 0.000002 	 RGB_PSNR : 32.741952 	 Y_PSNR : 34.753623 
598000-count 	 lr : 0.000002 	 RGB_PSNR : 32.740329 	 Y_PSNR : 34.753263 
599000-count 	 lr : 0.000002 	 RGB_PSNR : 32.740861 	 Y_PSNR : 34.753038 
600000-count 	 lr : 0.000001 	 RGB_PSNR : 32.742032 	 Y_PSNR : 34.752841 
