scale : 4 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
001000-count 	 lr : 0.000010 	 RGB_PSNR : 28.557434 	 Y_PSNR : 30.722896 
002000-count 	 lr : 0.000010 	 RGB_PSNR : 29.310358 	 Y_PSNR : 31.375245 
003000-count 	 lr : 0.000010 	 RGB_PSNR : 29.656047 	 Y_PSNR : 31.676355 
004000-count 	 lr : 0.000010 	 RGB_PSNR : 29.861366 	 Y_PSNR : 31.857156 
005000-count 	 lr : 0.000010 	 RGB_PSNR : 29.989649 	 Y_PSNR : 31.974017 
006000-count 	 lr : 0.000010 	 RGB_PSNR : 30.068887 	 Y_PSNR : 32.039065 
007000-count 	 lr : 0.000010 	 RGB_PSNR : 30.125846 	 Y_PSNR : 32.088627 
008000-count 	 lr : 0.000010 	 RGB_PSNR : 30.176671 	 Y_PSNR : 32.134567 
009000-count 	 lr : 0.000010 	 RGB_PSNR : 30.222915 	 Y_PSNR : 32.180351 
010000-count 	 lr : 0.000010 	 RGB_PSNR : 30.279433 	 Y_PSNR : 32.234950 
011000-count 	 lr : 0.000010 	 RGB_PSNR : 30.288444 	 Y_PSNR : 32.235714 
012000-count 	 lr : 0.000010 	 RGB_PSNR : 30.323415 	 Y_PSNR : 32.273261 
013000-count 	 lr : 0.000010 	 RGB_PSNR : 30.350057 	 Y_PSNR : 32.298974 
014000-count 	 lr : 0.000010 	 RGB_PSNR : 30.357904 	 Y_PSNR : 32.305472 
015000-count 	 lr : 0.000010 	 RGB_PSNR : 30.377211 	 Y_PSNR : 32.323096 
016000-count 	 lr : 0.000010 	 RGB_PSNR : 30.385109 	 Y_PSNR : 32.332013 
017000-count 	 lr : 0.000010 	 RGB_PSNR : 30.417361 	 Y_PSNR : 32.363822 
018000-count 	 lr : 0.000010 	 RGB_PSNR : 30.428333 	 Y_PSNR : 32.377600 
019000-count 	 lr : 0.000010 	 RGB_PSNR : 30.435171 	 Y_PSNR : 32.381961 
020000-count 	 lr : 0.000010 	 RGB_PSNR : 30.455242 	 Y_PSNR : 32.400832 
021000-count 	 lr : 0.000010 	 RGB_PSNR : 30.455648 	 Y_PSNR : 32.398470 
022000-count 	 lr : 0.000010 	 RGB_PSNR : 30.453875 	 Y_PSNR : 32.396341 
