scale : 4 	 n_feats : 64 	 n_RG : 10 	 n_RCAB : 20 
023000-count 	 lr : 0.000010 	 RGB_PSNR : 30.458269 	 Y_PSNR : 32.400556 
024000-count 	 lr : 0.000010 	 RGB_PSNR : 30.452352 	 Y_PSNR : 32.392836 
025000-count 	 lr : 0.000010 	 RGB_PSNR : 30.463714 	 Y_PSNR : 32.407049 
026000-count 	 lr : 0.000010 	 RGB_PSNR : 30.468203 	 Y_PSNR : 32.406808 
027000-count 	 lr : 0.000010 	 RGB_PSNR : 30.491095 	 Y_PSNR : 32.434784 
028000-count 	 lr : 0.000010 	 RGB_PSNR : 30.497462 	 Y_PSNR : 32.439732 
029000-count 	 lr : 0.000010 	 RGB_PSNR : 30.497964 	 Y_PSNR : 32.439997 
030000-count 	 lr : 0.000010 	 RGB_PSNR : 30.495902 	 Y_PSNR : 32.438609 
031000-count 	 lr : 0.000010 	 RGB_PSNR : 30.503577 	 Y_PSNR : 32.445123 
032000-count 	 lr : 0.000010 	 RGB_PSNR : 30.503758 	 Y_PSNR : 32.443355 
033000-count 	 lr : 0.000010 	 RGB_PSNR : 30.498978 	 Y_PSNR : 32.438958 
034000-count 	 lr : 0.000010 	 RGB_PSNR : 30.494338 	 Y_PSNR : 32.431455 
035000-count 	 lr : 0.000010 	 RGB_PSNR : 30.506615 	 Y_PSNR : 32.442493 
036000-count 	 lr : 0.000010 	 RGB_PSNR : 30.500998 	 Y_PSNR : 32.436784 
037000-count 	 lr : 0.000010 	 RGB_PSNR : 30.521608 	 Y_PSNR : 32.462687 
038000-count 	 lr : 0.000010 	 RGB_PSNR : 30.513778 	 Y_PSNR : 32.451057 
039000-count 	 lr : 0.000010 	 RGB_PSNR : 30.522082 	 Y_PSNR : 32.464749 
040000-count 	 lr : 0.000010 	 RGB_PSNR : 30.530387 	 Y_PSNR : 32.467750 
041000-count 	 lr : 0.000010 	 RGB_PSNR : 30.530115 	 Y_PSNR : 32.471199 
042000-count 	 lr : 0.000010 	 RGB_PSNR : 30.520550 	 Y_PSNR : 32.457763 
043000-count 	 lr : 0.000010 	 RGB_PSNR : 30.543523 	 Y_PSNR : 32.484602 
044000-count 	 lr : 0.000010 	 RGB_PSNR : 30.546236 	 Y_PSNR : 32.485138 
045000-count 	 lr : 0.000010 	 RGB_PSNR : 30.540132 	 Y_PSNR : 32.482163 
046000-count 	 lr : 0.000010 	 RGB_PSNR : 30.547439 	 Y_PSNR : 32.488685 
047000-count 	 lr : 0.000010 	 RGB_PSNR : 30.547258 	 Y_PSNR : 32.485557 
048000-count 	 lr : 0.000010 	 RGB_PSNR : 30.566092 	 Y_PSNR : 32.505682 
049000-count 	 lr : 0.000010 	 RGB_PSNR : 30.554697 	 Y_PSNR : 32.495395 
050000-count 	 lr : 0.000010 	 RGB_PSNR : 30.567344 	 Y_PSNR : 32.509520 
051000-count 	 lr : 0.000010 	 RGB_PSNR : 30.560006 	 Y_PSNR : 32.497674 
052000-count 	 lr : 0.000010 	 RGB_PSNR : 30.551121 	 Y_PSNR : 32.486536 
053000-count 	 lr : 0.000010 	 RGB_PSNR : 30.555630 	 Y_PSNR : 32.493150 
054000-count 	 lr : 0.000010 	 RGB_PSNR : 30.561367 	 Y_PSNR : 32.499246 
055000-count 	 lr : 0.000010 	 RGB_PSNR : 30.559488 	 Y_PSNR : 32.494988 
056000-count 	 lr : 0.000010 	 RGB_PSNR : 30.565534 	 Y_PSNR : 32.501491 
057000-count 	 lr : 0.000010 	 RGB_PSNR : 30.557025 	 Y_PSNR : 32.492418 
058000-count 	 lr : 0.000010 	 RGB_PSNR : 30.567121 	 Y_PSNR : 32.504976 
059000-count 	 lr : 0.000010 	 RGB_PSNR : 30.580327 	 Y_PSNR : 32.520569 
060000-count 	 lr : 0.000010 	 RGB_PSNR : 30.563281 	 Y_PSNR : 32.498227 
061000-count 	 lr : 0.000010 	 RGB_PSNR : 30.567187 	 Y_PSNR : 32.503096 
062000-count 	 lr : 0.000010 	 RGB_PSNR : 30.562643 	 Y_PSNR : 32.498465 
063000-count 	 lr : 0.000010 	 RGB_PSNR : 30.562757 	 Y_PSNR : 32.497282 
064000-count 	 lr : 0.000010 	 RGB_PSNR : 30.574379 	 Y_PSNR : 32.509565 
065000-count 	 lr : 0.000010 	 RGB_PSNR : 30.571142 	 Y_PSNR : 32.505396 
066000-count 	 lr : 0.000010 	 RGB_PSNR : 30.587395 	 Y_PSNR : 32.526171 
067000-count 	 lr : 0.000010 	 RGB_PSNR : 30.592500 	 Y_PSNR : 32.527921 
068000-count 	 lr : 0.000010 	 RGB_PSNR : 30.589662 	 Y_PSNR : 32.526832 
069000-count 	 lr : 0.000010 	 RGB_PSNR : 30.583503 	 Y_PSNR : 32.518507 
070000-count 	 lr : 0.000010 	 RGB_PSNR : 30.577206 	 Y_PSNR : 32.514748 
071000-count 	 lr : 0.000010 	 RGB_PSNR : 30.593663 	 Y_PSNR : 32.527125 
072000-count 	 lr : 0.000010 	 RGB_PSNR : 30.585941 	 Y_PSNR : 32.519566 
073000-count 	 lr : 0.000010 	 RGB_PSNR : 30.582825 	 Y_PSNR : 32.515733 
074000-count 	 lr : 0.000010 	 RGB_PSNR : 30.595986 	 Y_PSNR : 32.533021 
075000-count 	 lr : 0.000010 	 RGB_PSNR : 30.588195 	 Y_PSNR : 32.524260 
076000-count 	 lr : 0.000010 	 RGB_PSNR : 30.578833 	 Y_PSNR : 32.512771 
077000-count 	 lr : 0.000010 	 RGB_PSNR : 30.601157 	 Y_PSNR : 32.537920 
078000-count 	 lr : 0.000010 	 RGB_PSNR : 30.584556 	 Y_PSNR : 32.519262 
079000-count 	 lr : 0.000010 	 RGB_PSNR : 30.585336 	 Y_PSNR : 32.516292 
080000-count 	 lr : 0.000010 	 RGB_PSNR : 30.586555 	 Y_PSNR : 32.520656 
081000-count 	 lr : 0.000010 	 RGB_PSNR : 30.590646 	 Y_PSNR : 32.525173 
082000-count 	 lr : 0.000010 	 RGB_PSNR : 30.587243 	 Y_PSNR : 32.523602 
083000-count 	 lr : 0.000010 	 RGB_PSNR : 30.585375 	 Y_PSNR : 32.518960 
084000-count 	 lr : 0.000010 	 RGB_PSNR : 30.579090 	 Y_PSNR : 32.512896 
085000-count 	 lr : 0.000010 	 RGB_PSNR : 30.595171 	 Y_PSNR : 32.529042 
086000-count 	 lr : 0.000010 	 RGB_PSNR : 30.601232 	 Y_PSNR : 32.539782 
087000-count 	 lr : 0.000010 	 RGB_PSNR : 30.594988 	 Y_PSNR : 32.527149 
088000-count 	 lr : 0.000010 	 RGB_PSNR : 30.591647 	 Y_PSNR : 32.524468 
089000-count 	 lr : 0.000010 	 RGB_PSNR : 30.590231 	 Y_PSNR : 32.527850 
090000-count 	 lr : 0.000010 	 RGB_PSNR : 30.602413 	 Y_PSNR : 32.539317 
091000-count 	 lr : 0.000010 	 RGB_PSNR : 30.589258 	 Y_PSNR : 32.523315 
092000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608524 	 Y_PSNR : 32.546180 
093000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616445 	 Y_PSNR : 32.555399 
094000-count 	 lr : 0.000010 	 RGB_PSNR : 30.602111 	 Y_PSNR : 32.535355 
095000-count 	 lr : 0.000010 	 RGB_PSNR : 30.596943 	 Y_PSNR : 32.532933 
096000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608796 	 Y_PSNR : 32.544139 
097000-count 	 lr : 0.000010 	 RGB_PSNR : 30.586161 	 Y_PSNR : 32.518490 
098000-count 	 lr : 0.000010 	 RGB_PSNR : 30.598051 	 Y_PSNR : 32.531133 
099000-count 	 lr : 0.000010 	 RGB_PSNR : 30.610400 	 Y_PSNR : 32.544690 
100000-count 	 lr : 0.000010 	 RGB_PSNR : 30.604890 	 Y_PSNR : 32.541807 
101000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608531 	 Y_PSNR : 32.543960 
102000-count 	 lr : 0.000010 	 RGB_PSNR : 30.601566 	 Y_PSNR : 32.535250 
103000-count 	 lr : 0.000010 	 RGB_PSNR : 30.609954 	 Y_PSNR : 32.544352 
104000-count 	 lr : 0.000010 	 RGB_PSNR : 30.613951 	 Y_PSNR : 32.550832 
105000-count 	 lr : 0.000010 	 RGB_PSNR : 30.595383 	 Y_PSNR : 32.529709 
106000-count 	 lr : 0.000010 	 RGB_PSNR : 30.599185 	 Y_PSNR : 32.534176 
107000-count 	 lr : 0.000010 	 RGB_PSNR : 30.609029 	 Y_PSNR : 32.546701 
108000-count 	 lr : 0.000010 	 RGB_PSNR : 30.594836 	 Y_PSNR : 32.523660 
109000-count 	 lr : 0.000010 	 RGB_PSNR : 30.604776 	 Y_PSNR : 32.538099 
110000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616104 	 Y_PSNR : 32.551505 
111000-count 	 lr : 0.000010 	 RGB_PSNR : 30.598230 	 Y_PSNR : 32.524771 
112000-count 	 lr : 0.000010 	 RGB_PSNR : 30.620509 	 Y_PSNR : 32.552503 
113000-count 	 lr : 0.000010 	 RGB_PSNR : 30.603562 	 Y_PSNR : 32.533518 
114000-count 	 lr : 0.000010 	 RGB_PSNR : 30.609049 	 Y_PSNR : 32.543786 
115000-count 	 lr : 0.000010 	 RGB_PSNR : 30.612526 	 Y_PSNR : 32.548366 
116000-count 	 lr : 0.000010 	 RGB_PSNR : 30.607644 	 Y_PSNR : 32.537981 
117000-count 	 lr : 0.000010 	 RGB_PSNR : 30.604649 	 Y_PSNR : 32.533795 
118000-count 	 lr : 0.000010 	 RGB_PSNR : 30.604580 	 Y_PSNR : 32.538966 
119000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608895 	 Y_PSNR : 32.542002 
120000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608346 	 Y_PSNR : 32.542977 
121000-count 	 lr : 0.000010 	 RGB_PSNR : 30.615973 	 Y_PSNR : 32.549559 
122000-count 	 lr : 0.000010 	 RGB_PSNR : 30.605151 	 Y_PSNR : 32.537310 
123000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616245 	 Y_PSNR : 32.552836 
124000-count 	 lr : 0.000010 	 RGB_PSNR : 30.623569 	 Y_PSNR : 32.557021 
125000-count 	 lr : 0.000010 	 RGB_PSNR : 30.613510 	 Y_PSNR : 32.549538 
126000-count 	 lr : 0.000010 	 RGB_PSNR : 30.622593 	 Y_PSNR : 32.557028 
127000-count 	 lr : 0.000010 	 RGB_PSNR : 30.621606 	 Y_PSNR : 32.554052 
128000-count 	 lr : 0.000010 	 RGB_PSNR : 30.609357 	 Y_PSNR : 32.543785 
129000-count 	 lr : 0.000010 	 RGB_PSNR : 30.633720 	 Y_PSNR : 32.570239 
130000-count 	 lr : 0.000010 	 RGB_PSNR : 30.624954 	 Y_PSNR : 32.558142 
131000-count 	 lr : 0.000010 	 RGB_PSNR : 30.639671 	 Y_PSNR : 32.575213 
132000-count 	 lr : 0.000010 	 RGB_PSNR : 30.619382 	 Y_PSNR : 32.554262 
133000-count 	 lr : 0.000010 	 RGB_PSNR : 30.619260 	 Y_PSNR : 32.551615 
134000-count 	 lr : 0.000010 	 RGB_PSNR : 30.626708 	 Y_PSNR : 32.558262 
135000-count 	 lr : 0.000010 	 RGB_PSNR : 30.618469 	 Y_PSNR : 32.551356 
136000-count 	 lr : 0.000010 	 RGB_PSNR : 30.623382 	 Y_PSNR : 32.554967 
137000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617797 	 Y_PSNR : 32.554967 
138000-count 	 lr : 0.000010 	 RGB_PSNR : 30.607177 	 Y_PSNR : 32.541237 
139000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608529 	 Y_PSNR : 32.538449 
140000-count 	 lr : 0.000010 	 RGB_PSNR : 30.611576 	 Y_PSNR : 32.544853 
141000-count 	 lr : 0.000010 	 RGB_PSNR : 30.607746 	 Y_PSNR : 32.542305 
142000-count 	 lr : 0.000010 	 RGB_PSNR : 30.605851 	 Y_PSNR : 32.538733 
143000-count 	 lr : 0.000010 	 RGB_PSNR : 30.601771 	 Y_PSNR : 32.534709 
144000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616996 	 Y_PSNR : 32.551401 
145000-count 	 lr : 0.000010 	 RGB_PSNR : 30.624354 	 Y_PSNR : 32.561876 
146000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617864 	 Y_PSNR : 32.552866 
147000-count 	 lr : 0.000010 	 RGB_PSNR : 30.620544 	 Y_PSNR : 32.558566 
148000-count 	 lr : 0.000010 	 RGB_PSNR : 30.619436 	 Y_PSNR : 32.557626 
149000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617866 	 Y_PSNR : 32.552118 
150000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616079 	 Y_PSNR : 32.549290 
151000-count 	 lr : 0.000010 	 RGB_PSNR : 30.627303 	 Y_PSNR : 32.558801 
152000-count 	 lr : 0.000010 	 RGB_PSNR : 30.600078 	 Y_PSNR : 32.528836 
153000-count 	 lr : 0.000010 	 RGB_PSNR : 30.626757 	 Y_PSNR : 32.559562 
154000-count 	 lr : 0.000010 	 RGB_PSNR : 30.646559 	 Y_PSNR : 32.580750 
155000-count 	 lr : 0.000010 	 RGB_PSNR : 30.621549 	 Y_PSNR : 32.557613 
156000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616673 	 Y_PSNR : 32.548853 
157000-count 	 lr : 0.000010 	 RGB_PSNR : 30.625187 	 Y_PSNR : 32.555100 
158000-count 	 lr : 0.000010 	 RGB_PSNR : 30.622300 	 Y_PSNR : 32.551937 
159000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617196 	 Y_PSNR : 32.548949 
160000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617008 	 Y_PSNR : 32.547057 
161000-count 	 lr : 0.000010 	 RGB_PSNR : 30.602800 	 Y_PSNR : 32.534105 
162000-count 	 lr : 0.000010 	 RGB_PSNR : 30.618079 	 Y_PSNR : 32.553342 
163000-count 	 lr : 0.000010 	 RGB_PSNR : 30.609595 	 Y_PSNR : 32.539335 
164000-count 	 lr : 0.000010 	 RGB_PSNR : 30.617550 	 Y_PSNR : 32.550891 
165000-count 	 lr : 0.000010 	 RGB_PSNR : 30.621466 	 Y_PSNR : 32.554885 
166000-count 	 lr : 0.000010 	 RGB_PSNR : 30.613767 	 Y_PSNR : 32.547362 
167000-count 	 lr : 0.000010 	 RGB_PSNR : 30.608159 	 Y_PSNR : 32.539244 
168000-count 	 lr : 0.000010 	 RGB_PSNR : 30.638148 	 Y_PSNR : 32.571864 
169000-count 	 lr : 0.000010 	 RGB_PSNR : 30.642168 	 Y_PSNR : 32.574777 
170000-count 	 lr : 0.000010 	 RGB_PSNR : 30.622918 	 Y_PSNR : 32.554955 
171000-count 	 lr : 0.000010 	 RGB_PSNR : 30.631552 	 Y_PSNR : 32.562985 
172000-count 	 lr : 0.000010 	 RGB_PSNR : 30.625505 	 Y_PSNR : 32.556726 
173000-count 	 lr : 0.000010 	 RGB_PSNR : 30.637842 	 Y_PSNR : 32.573225 
174000-count 	 lr : 0.000010 	 RGB_PSNR : 30.627237 	 Y_PSNR : 32.560693 
175000-count 	 lr : 0.000010 	 RGB_PSNR : 30.625653 	 Y_PSNR : 32.561393 
176000-count 	 lr : 0.000010 	 RGB_PSNR : 30.616453 	 Y_PSNR : 32.547381 
177000-count 	 lr : 0.000010 	 RGB_PSNR : 30.628066 	 Y_PSNR : 32.564490 
178000-count 	 lr : 0.000010 	 RGB_PSNR : 30.621755 	 Y_PSNR : 32.556272 
179000-count 	 lr : 0.000010 	 RGB_PSNR : 30.630880 	 Y_PSNR : 32.561905 
180000-count 	 lr : 0.000010 	 RGB_PSNR : 30.623619 	 Y_PSNR : 32.555741 
181000-count 	 lr : 0.000010 	 RGB_PSNR : 30.625906 	 Y_PSNR : 32.558812 
182000-count 	 lr : 0.000010 	 RGB_PSNR : 30.622382 	 Y_PSNR : 32.553787 
183000-count 	 lr : 0.000010 	 RGB_PSNR : 30.630870 	 Y_PSNR : 32.563488 
184000-count 	 lr : 0.000010 	 RGB_PSNR : 30.613193 	 Y_PSNR : 32.542602 
185000-count 	 lr : 0.000010 	 RGB_PSNR : 30.634524 	 Y_PSNR : 32.567158 
186000-count 	 lr : 0.000010 	 RGB_PSNR : 30.623156 	 Y_PSNR : 32.554230 
187000-count 	 lr : 0.000010 	 RGB_PSNR : 30.625037 	 Y_PSNR : 32.553377 
188000-count 	 lr : 0.000010 	 RGB_PSNR : 30.630856 	 Y_PSNR : 32.563255 
189000-count 	 lr : 0.000010 	 RGB_PSNR : 30.631538 	 Y_PSNR : 32.558993 
190000-count 	 lr : 0.000010 	 RGB_PSNR : 30.629558 	 Y_PSNR : 32.558743 
191000-count 	 lr : 0.000010 	 RGB_PSNR : 30.631019 	 Y_PSNR : 32.561183 
192000-count 	 lr : 0.000010 	 RGB_PSNR : 30.628920 	 Y_PSNR : 32.558005 
193000-count 	 lr : 0.000010 	 RGB_PSNR : 30.622456 	 Y_PSNR : 32.554802 
194000-count 	 lr : 0.000010 	 RGB_PSNR : 30.632131 	 Y_PSNR : 32.565455 
195000-count 	 lr : 0.000010 	 RGB_PSNR : 30.619126 	 Y_PSNR : 32.548591 
196000-count 	 lr : 0.000010 	 RGB_PSNR : 30.631031 	 Y_PSNR : 32.561459 
197000-count 	 lr : 0.000010 	 RGB_PSNR : 30.632177 	 Y_PSNR : 32.565133 
198000-count 	 lr : 0.000010 	 RGB_PSNR : 30.627295 	 Y_PSNR : 32.559165 
199000-count 	 lr : 0.000010 	 RGB_PSNR : 30.619209 	 Y_PSNR : 32.552818 
200000-count 	 lr : 0.000005 	 RGB_PSNR : 30.616453 	 Y_PSNR : 32.547427 
201000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626219 	 Y_PSNR : 32.556295 
202000-count 	 lr : 0.000005 	 RGB_PSNR : 30.622328 	 Y_PSNR : 32.554935 
203000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629398 	 Y_PSNR : 32.560609 
204000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629462 	 Y_PSNR : 32.563613 
205000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625841 	 Y_PSNR : 32.558691 
206000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629683 	 Y_PSNR : 32.563606 
207000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630983 	 Y_PSNR : 32.563255 
208000-count 	 lr : 0.000005 	 RGB_PSNR : 30.628974 	 Y_PSNR : 32.560546 
209000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630271 	 Y_PSNR : 32.561714 
210000-count 	 lr : 0.000005 	 RGB_PSNR : 30.628481 	 Y_PSNR : 32.560648 
211000-count 	 lr : 0.000005 	 RGB_PSNR : 30.620074 	 Y_PSNR : 32.551183 
212000-count 	 lr : 0.000005 	 RGB_PSNR : 30.620151 	 Y_PSNR : 32.550642 
213000-count 	 lr : 0.000005 	 RGB_PSNR : 30.624170 	 Y_PSNR : 32.555883 
214000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625446 	 Y_PSNR : 32.556831 
215000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626254 	 Y_PSNR : 32.561040 
216000-count 	 lr : 0.000005 	 RGB_PSNR : 30.627216 	 Y_PSNR : 32.558255 
217000-count 	 lr : 0.000005 	 RGB_PSNR : 30.624520 	 Y_PSNR : 32.554771 
218000-count 	 lr : 0.000005 	 RGB_PSNR : 30.622321 	 Y_PSNR : 32.552295 
219000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630890 	 Y_PSNR : 32.563324 
220000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629990 	 Y_PSNR : 32.564586 
221000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629238 	 Y_PSNR : 32.561057 
222000-count 	 lr : 0.000005 	 RGB_PSNR : 30.631961 	 Y_PSNR : 32.562917 
223000-count 	 lr : 0.000005 	 RGB_PSNR : 30.631191 	 Y_PSNR : 32.564535 
224000-count 	 lr : 0.000005 	 RGB_PSNR : 30.622643 	 Y_PSNR : 32.552772 
225000-count 	 lr : 0.000005 	 RGB_PSNR : 30.624566 	 Y_PSNR : 32.554916 
226000-count 	 lr : 0.000005 	 RGB_PSNR : 30.631464 	 Y_PSNR : 32.563923 
227000-count 	 lr : 0.000005 	 RGB_PSNR : 30.627575 	 Y_PSNR : 32.559938 
228000-count 	 lr : 0.000005 	 RGB_PSNR : 30.616511 	 Y_PSNR : 32.545764 
229000-count 	 lr : 0.000005 	 RGB_PSNR : 30.617848 	 Y_PSNR : 32.548637 
230000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629467 	 Y_PSNR : 32.562528 
231000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625086 	 Y_PSNR : 32.557364 
232000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629924 	 Y_PSNR : 32.563106 
233000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630204 	 Y_PSNR : 32.560005 
234000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629809 	 Y_PSNR : 32.559154 
235000-count 	 lr : 0.000005 	 RGB_PSNR : 30.621772 	 Y_PSNR : 32.549351 
236000-count 	 lr : 0.000005 	 RGB_PSNR : 30.619002 	 Y_PSNR : 32.546393 
237000-count 	 lr : 0.000005 	 RGB_PSNR : 30.634780 	 Y_PSNR : 32.565861 
238000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626873 	 Y_PSNR : 32.559655 
239000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625709 	 Y_PSNR : 32.555221 
240000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630712 	 Y_PSNR : 32.563989 
241000-count 	 lr : 0.000005 	 RGB_PSNR : 30.633564 	 Y_PSNR : 32.565150 
242000-count 	 lr : 0.000005 	 RGB_PSNR : 30.632503 	 Y_PSNR : 32.562671 
244000-count 	 lr : 0.000005 	 RGB_PSNR : 30.634771 	 Y_PSNR : 32.566624 
245000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629449 	 Y_PSNR : 32.559846 
246000-count 	 lr : 0.000005 	 RGB_PSNR : 30.632376 	 Y_PSNR : 32.563519 
247000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626255 	 Y_PSNR : 32.558462 
248000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629138 	 Y_PSNR : 32.563240 
249000-count 	 lr : 0.000005 	 RGB_PSNR : 30.628700 	 Y_PSNR : 32.561234 
250000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625735 	 Y_PSNR : 32.554695 
251000-count 	 lr : 0.000005 	 RGB_PSNR : 30.627357 	 Y_PSNR : 32.558321 
252000-count 	 lr : 0.000005 	 RGB_PSNR : 30.634823 	 Y_PSNR : 32.566410 
253000-count 	 lr : 0.000005 	 RGB_PSNR : 30.639767 	 Y_PSNR : 32.571533 
254000-count 	 lr : 0.000005 	 RGB_PSNR : 30.630891 	 Y_PSNR : 32.560876 
255000-count 	 lr : 0.000005 	 RGB_PSNR : 30.637876 	 Y_PSNR : 32.569479 
256000-count 	 lr : 0.000005 	 RGB_PSNR : 30.636554 	 Y_PSNR : 32.566785 
257000-count 	 lr : 0.000005 	 RGB_PSNR : 30.643485 	 Y_PSNR : 32.572773 
258000-count 	 lr : 0.000005 	 RGB_PSNR : 30.634626 	 Y_PSNR : 32.564380 
259000-count 	 lr : 0.000005 	 RGB_PSNR : 30.633768 	 Y_PSNR : 32.563411 
260000-count 	 lr : 0.000005 	 RGB_PSNR : 30.634762 	 Y_PSNR : 32.563510 
261000-count 	 lr : 0.000005 	 RGB_PSNR : 30.640419 	 Y_PSNR : 32.570486 
262000-count 	 lr : 0.000005 	 RGB_PSNR : 30.644445 	 Y_PSNR : 32.575081 
263000-count 	 lr : 0.000005 	 RGB_PSNR : 30.637167 	 Y_PSNR : 32.566856 
264000-count 	 lr : 0.000005 	 RGB_PSNR : 30.632588 	 Y_PSNR : 32.562962 
265000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625157 	 Y_PSNR : 32.554231 
266000-count 	 lr : 0.000005 	 RGB_PSNR : 30.628793 	 Y_PSNR : 32.560916 
267000-count 	 lr : 0.000005 	 RGB_PSNR : 30.621551 	 Y_PSNR : 32.550617 
268000-count 	 lr : 0.000005 	 RGB_PSNR : 30.625050 	 Y_PSNR : 32.555600 
269000-count 	 lr : 0.000005 	 RGB_PSNR : 30.620301 	 Y_PSNR : 32.549116 
270000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629942 	 Y_PSNR : 32.562318 
271000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626108 	 Y_PSNR : 32.556541 
272000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629850 	 Y_PSNR : 32.560268 
273000-count 	 lr : 0.000005 	 RGB_PSNR : 30.633269 	 Y_PSNR : 32.562900 
274000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626801 	 Y_PSNR : 32.559814 
275000-count 	 lr : 0.000005 	 RGB_PSNR : 30.626491 	 Y_PSNR : 32.556635 
276000-count 	 lr : 0.000005 	 RGB_PSNR : 30.628006 	 Y_PSNR : 32.560938 
277000-count 	 lr : 0.000005 	 RGB_PSNR : 30.629095 	 Y_PSNR : 32.560070 
278000-count 	 lr : 0.000005 	 RGB_PSNR : 30.642976 	 Y_PSNR : 32.578500 
279000-count 	 lr : 0.000005 	 RGB_PSNR : 30.631586 	 Y_PSNR : 32.563544 
